date,country,location,number,description,line
"October 15, 2016",Syria,Al Shadaddi,1,"strike engaged an ISIL tactical unit and destroyed a fighting position.         •	Near Ar Raqqah, one strike destroyed an ISIL oil pump jack.         •	Near Ayn Isa, one strike engaged an ISIL headquarters building and a staging area.         •	Near Mar’a, one strike destroyed an ISIL improvised explosive device.         •	Near Palmyra, one strike destroyed two ISIL vehicles.","•	Near Al Shadaddi, one strike engaged an ISIL tactical unit and destroyed a fighting position.         •	Near Ar Raqqah, one strike destroyed an ISIL oil pump jack.         •	Near Ayn Isa, one strike engaged an ISIL headquarters building and a staging area.         •	Near Mar’a, one strike destroyed an ISIL improvised explosive device.         •	Near Palmyra, one strike destroyed two ISIL vehicles."
"October 15, 2016",Iraq,Al Huwayjah,1,strike engaged an ISIL headquarters building.,"- Near Al Huwayjah, one strike engaged an ISIL headquarters building."
"October 15, 2016",Iraq,Mosul,6,"strikes engaged two ISIL tactical units and a media center; destroyed five rocket rails, four fighting positions, two supply caches, two vehicles, an anti-air artillery system, an ISIL-held building, a mortar system, and a headquarters building; damaged two T-walls; and suppressed another mortar system.","- Near Mosul, six strikes engaged two ISIL tactical units and a media center; destroyed five rocket rails, four fighting positions, two supply caches, two vehicles, an anti-air artillery system, an ISIL-held building, a mortar system, and a headquarters building; damaged two T-walls; and suppressed another mortar system."
"October 15, 2016",Iraq,Qayyarah,1,"strike engaged an ISIL tactical unit and destroyed an ISIL-held building, an ISIL vehicle, and a weapons cache.","- Near Qayyarah, one strike engaged an ISIL tactical unit and destroyed an ISIL-held building, an ISIL vehicle, and a weapons cache."
"October 15, 2016",Iraq,Sinjar,1,strike engaged an ISIL media center.,"- Near Sinjar, one strike engaged an ISIL media center."
"October 15, 2016",Iraq,Sultan Abdallah,2,strikes engaged an ISIL weapons storage facility and a headquarters building.,"- Near Sultan Abdallah, two strikes engaged an ISIL weapons storage facility and a headquarters building."
"October 14, 2016",Syria,Abu Kamal,1,strike engaged an ISIL supply route.,"- Near Abu Kamal, one strike engaged an ISIL supply route."
"October 14, 2016",Syria,Al Shadaddi,6,"strikes engaged six ISIL tactical units and destroyed four fighting positions, two supply caches, and a vehicle.","- Near Al Shadaddi, six strikes engaged six ISIL tactical units and destroyed four fighting positions, two supply caches, and a vehicle."
"October 14, 2016",Syria,Ayn Isa,1,strike engaged an ISIL tactical unit and destroyed a fighting position.,"- Near Ayn Isa, one strike engaged an ISIL tactical unit and destroyed a fighting position."
"October 14, 2016",Syria,Dayr Az Zawr,4,strikes destroyed seven ISIL oil well heads.,"- Near Dayr Az Zawr, four strikes destroyed seven ISIL oil well heads."
"October 14, 2016",Syria,Palmyra,1,strike engaged an ISIL tactical unit and destroyed two vehicles.,"- Near Palmyra, one strike engaged an ISIL tactical unit and destroyed two vehicles."
"October 14, 2016",Iraq,Ar Rutbah,1,strike destroyed an ISIL vehicle.,"- Near Ar Rutbah, one strike destroyed an ISIL vehicle."
"October 14, 2016",Iraq,Kisik,1,strike engaged an ISIL staging area and destroyed two tunnels.,"- Near Kisik, one strike engaged an ISIL staging area and destroyed two tunnels."
"October 14, 2016",Iraq,Mosul,5,"strikes engaged an ISIL tactical unit and a chemical weapons facility; destroyed three tunnel entrances, a tunnel, a rocket rail, a vehicle, and a trench; and damaged a trench network.","- Near Mosul, five strikes engaged an ISIL tactical unit and a chemical weapons facility; destroyed three tunnel entrances, a tunnel, a rocket rail, a vehicle, and a trench; and damaged a trench network."
"October 14, 2016",Iraq,Sultan Abdallah,2,strikes engaged an ISIL weapons factory and destroyed two boats.,"- Near Sultan Abdallah, two strikes engaged an ISIL weapons factory and destroyed two boats."
"October 13, 2016",Syria,Abu Kamal,2,"strikes destroyed four ISIL oil well heads, four oil collection tanks, and a vehicle.","- Near Abu Kamal, two strikes destroyed four ISIL oil well heads, four oil collection tanks, and a vehicle."
"October 13, 2016",Syria,Ayn Isa,1,strike destroyed seven fighting positions.,"- Near Ayn Isa, one strike destroyed seven fighting positions."
"October 13, 2016",Syria,Dayr Az Zawr,2,strikes engaged an ISIL supply route and destroyed an oil well head.,"- Near Dayr Az Zawr, two strikes engaged an ISIL supply route and destroyed an oil well head."
"October 13, 2016",Syria,Mar’a,4,strikes engaged four ISIL tactical units and destroyed a vehicle.,"- Near Mar’a, four strikes engaged four ISIL tactical units and destroyed a vehicle."
"October 13, 2016",Iraq,Al Huwayjah,1,strike destroyed an ISIL boat and a VBIED.,"- Near Al Huwayjah, one strike destroyed an ISIL boat and a VBIED."
"October 13, 2016",Iraq,Ar Rutbah,1,strike engaged an ISIL tactical unit and destroyed three vehicles.,"- Near Ar Rutbah, one strike engaged an ISIL tactical unit and destroyed three vehicles."
"October 13, 2016",Iraq,Bashir,1,"strike engaged an ISIL staging area and destroyed two ISIL-held buildings, two fighting positions, two tunnels, a storage cache, and an ammunition cache.","- Near Bashir, one strike engaged an ISIL staging area and destroyed two ISIL-held buildings, two fighting positions, two tunnels, a storage cache, and an ammunition cache."
"October 13, 2016",Iraq,Bayji,1,"strike destroyed two ISIL ammunition caches, two vehicles, a mortar system, and a tunnel entrance.","- Near Bayji, one strike destroyed two ISIL ammunition caches, two vehicles, a mortar system, and a tunnel entrance."
"October 13, 2016",Iraq,Kisik,2,strikes destroyed three ISIL tunnel entrances and damaged another tunnel.,"- Near Kisik, two strikes destroyed three ISIL tunnel entrances and damaged another tunnel."
"October 13, 2016",Iraq,Mosul,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Mosul, one strike engaged an ISIL tactical unit and destroyed a vehicle."
"October 13, 2016",Iraq,Qayyarah,2,"strikes engaged two ISIL tactical units and destroyed three supply caches, two vehicles, two mortar systems, two rocket systems, and a heavy machine gun.","- Near Qayyarah, two strikes engaged two ISIL tactical units and destroyed three supply caches, two vehicles, two mortar systems, two rocket systems, and a heavy machine gun."
"October 13, 2016",Iraq,Sultan Abdallah,1,"strike destroyed five ISIL homemade explosive caches, two vehicles, and an artillery system and suppressed a mortar position.","- Near Sultan Abdallah, one strike destroyed five ISIL homemade explosive caches, two vehicles, and an artillery system and suppressed a mortar position."
"October 12, 2016",Syria,Abu Kamal,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Abu Kamal, one strike engaged an ISIL tactical unit and destroyed a vehicle."
"October 12, 2016",Syria,Ar Raqqah,1,strike engaged an ISIL tactical unit and destroyed a vehicle and a VBIED.,"- Near Ar Raqqah, one strike engaged an ISIL tactical unit and destroyed a vehicle and a VBIED."
"October 12, 2016",Syria,Dayr Az Zawr,4,"strikes destroyed 11 ISIL oil tanker trucks, six oil well heads, three vehicles, a front-end loader and a crane.","- Near Dayr Az Zawr, four strikes destroyed 11 ISIL oil tanker trucks, six oil well heads, three vehicles, a front-end loader and a crane."
"October 12, 2016",Syria,Manbij,1,strike suppressed an ISIL tactical unit.,"- Near Manbij, one strike suppressed an ISIL tactical unit."
"October 12, 2016",Syria,Mar’a,4,strikes engaged four ISIL tactical units and destroyed three fighting positions and a vehicle.,"- Near Mar’a, four strikes engaged four ISIL tactical units and destroyed three fighting positions and a vehicle."
"October 12, 2016",Iraq,Fallujah,1,strike engaged an ISIL tactical unit.,"- Near Fallujah, one strike engaged an ISIL tactical unit."
"October 12, 2016",Iraq,Mosul,4,"strikes destroyed two ISIL mortar systems, an ISIL-held building, a weapons cache, a supply cache, and a tunnel.","- Near Mosul, four strikes destroyed two ISIL mortar systems, an ISIL-held building, a weapons cache, a supply cache, and a tunnel."
"October 12, 2016",Iraq,Qayyarah,2,strikes engaged an ISIL tactical unit and a staging area and destroyed two command and control nodes.,"- Near Qayyarah, two strikes engaged an ISIL tactical unit and a staging area and destroyed two command and control nodes."
"October 11, 2016",Syria,Abu Kamal,1,strike damaged a supply route.,"- Near Abu Kamal, one strike damaged a supply route."
"October 11, 2016",Syria,Al Hawl,1,strike engaged an ISIL tactical unit and destroyed a fighting position.,"- Near Al Hawl, one strike engaged an ISIL tactical unit and destroyed a fighting position."
"October 11, 2016",Syria,Dayr Az Zawr,3,strikes destroyed three ISIL oil well heads and an oil tanker truck and damaged two supply routes.,"- Near Dayr Az Zawr, three strikes destroyed three ISIL oil well heads and an oil tanker truck and damaged two supply routes."
"October 11, 2016",Syria,Manbij,3,strikes engaged three ISIL tactical units and destroyed six fighting positions and two vehicles.,"- Near Manbij, three strikes engaged three ISIL tactical units and destroyed six fighting positions and two vehicles."
"October 11, 2016",Iraq,Bayji,2,"strikes engaged an ISIL tactical unit and destroyed three fighting positions, two weapons caches, two bunkers, and a tunnel entrance.","- Near Bayji, two strikes engaged an ISIL tactical unit and destroyed three fighting positions, two weapons caches, two bunkers, and a tunnel entrance."
"October 11, 2016",Iraq,Haditha,1,strike destroyed three ISIL vehicles.,"- Near Haditha, one strike destroyed three ISIL vehicles."
"October 11, 2016",Iraq,Kisik,1,"strike engaged an ISIL tactical unit; destroyed an ISIL-held building, a fighting position, a heavy machine gun, and three tunnels; damaged a trench and another tunnel; and suppressed a second tactical unit.","- Near Kisik, one strike engaged an ISIL tactical unit; destroyed an ISIL-held building, a fighting position, a heavy machine gun, and three tunnels; damaged a trench and another tunnel; and suppressed a second tactical unit."
"October 11, 2016",Iraq,Mosul,4,"strikes engaged an ISIL tactical unit, a staging area, six headquarters buildings, two media centers, a VBIED facility, and a weapons facility and destroyed two ISIL-held buildings, a command and control node, an anti-air artillery system, and a weapons cache.","- Near Mosul, four strikes engaged an ISIL tactical unit, a staging area, six headquarters buildings, two media centers, a VBIED facility, and a weapons facility and destroyed two ISIL-held buildings, a command and control node, an anti-air artillery system, and a weapons cache."
"October 11, 2016",Iraq,Sinjar,1,strike engaged an ISIL tactical unit and destroyed five fighting positions.,"- Near Sinjar, one strike engaged an ISIL tactical unit and destroyed five fighting positions."
"October 10, 2016",Syria,Abu Kamal,1,strike damaged two supply routes.,"- Near Abu Kamal, one strike damaged two supply routes."
"October 10, 2016",Syria,Al Shadaddi,2,strikes engaged an ISIL tactical unit and destroyed three fighting position and a vehicle.,"- Near Al Shadaddi, two strikes engaged an ISIL tactical unit and destroyed three fighting position and a vehicle."
"October 10, 2016",Syria,Dayr Az Zawr,2,strikes damaged four ISIL supply routes.,"- Near Dayr Az Zawr, two strikes damaged four ISIL supply routes."
"October 10, 2016",Syria,Mar’a,2,strikes engaged an ISIL tactical unit and destroyed a vehicle and a fighting position.,"- Near Mar’a, two strikes engaged an ISIL tactical unit and destroyed a vehicle and a fighting position."
"October 10, 2016",Syria,Palmyra,1,strike destroyed an ISIL headquarters facility.,"- Near Palmyra, one strike destroyed an ISIL headquarters facility."
"October 10, 2016",Iraq,Mosul,4,"strikes engaged an ISIL tactical unit and a staging area; destroyed a training camp, a mortar cache, a logistical node, a sniper position, a supply cache, and a tunnel; and damaged another tunnel.","- Near Mosul, four strikes engaged an ISIL tactical unit and a staging area; destroyed a training camp, a mortar cache, a logistical node, a sniper position, a supply cache, and a tunnel; and damaged another tunnel."
"October 10, 2016",Iraq,Sinjar,3,"strikes engaged two ISIL tactical units and destroyed three fighting positions, two vehicles, a mortar system, and a logistical node.","- Near Sinjar, three strikes engaged two ISIL tactical units and destroyed three fighting positions, two vehicles, a mortar system, and a logistical node."
"October 10, 2016",Iraq,Sultan Abdallah,1,strike destroyed an ISIL mortar system.,"- Near Sultan Abdallah, one strike destroyed an ISIL mortar system."
"October 6, 2016",Syria,Ar Raqqah,3,"strikes destroyed nine ISIL oil tanker trucks, seven oil truck trailers, four oil pump jacks, an oil storage tank, and a front-end loader.","- Near Ar Raqqah, three strikes destroyed nine ISIL oil tanker trucks, seven oil truck trailers, four oil pump jacks, an oil storage tank, and a front-end loader."
"October 6, 2016",Syria,Ayn Isa,1,strike engaged an ISIL tactical unit and destroyed a front-end loader.,"- Near Ayn Isa, one strike engaged an ISIL tactical unit and destroyed a front-end loader."
"October 6, 2016",Syria,Dayr Az Zawr,2,strikes destroyed an ISIL oil well head and damaged two supply routes.,"- Near Dayr Az Zawr, two strikes destroyed an ISIL oil well head and damaged two supply routes."
"October 6, 2016",Syria,Manbij,2,"strikes engaged two ISIL tactical units, destroyed three fighting positions and two heavy machine guns, and suppressed a mortar position.","- Near Manbij, two strikes engaged two ISIL tactical units, destroyed three fighting positions and two heavy machine guns, and suppressed a mortar position."
"October 6, 2016",Syria,Mar’a,1,strike engaged an ISIL tactical unit.,"- Near Mar’a, one strike engaged an ISIL tactical unit."
"October 6, 2016",Syria,Abu Kamal,2,strikes destroyed three ISIL oil well heads and an oil pump jack and damaged six supply routes.,"- Near Abu Kamal, two strikes destroyed three ISIL oil well heads and an oil pump jack and damaged six supply routes."
"October 6, 2016",Iraq,Al Huwayjah,2,strikes engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Al Huwayjah, two strikes engaged an ISIL tactical unit and destroyed a vehicle."
"October 6, 2016",Iraq,Baghdad,1,strike engaged an ISIL tactical unit.,"- Near Baghdad, one strike engaged an ISIL tactical unit."
"October 6, 2016",Iraq,Haditha,1,strike engaged an ISIL staging area.,"- Near Haditha, one strike engaged an ISIL staging area."
"October 6, 2016",Iraq,Hit,1,"strike engaged an ISIL tactical unit; destroyed two ISIL-held buildings, a vehicle, and a weapons cache; and damaged a second ISIL-held building.","- Near Hit, one strike engaged an ISIL tactical unit; destroyed two ISIL-held buildings, a vehicle, and a weapons cache; and damaged a second ISIL-held building."
"October 6, 2016",Iraq,Mosul,6,"strikes engaged four ISIL tactical units and destroyed three vehicles, a weapons cache, two supply caches, a command and control node, a mortar system, and an anti-air artillery system.","- Near Mosul, six strikes engaged four ISIL tactical units and destroyed three vehicles, a weapons cache, two supply caches, a command and control node, a mortar system, and an anti-air artillery system."
"October 6, 2016",Iraq,Qayyarah,1,strike destroyed an ISIL mortar system and a fighting position.,"- Near Qayyarah, one strike destroyed an ISIL mortar system and a fighting position."
"October 6, 2016",Iraq,Ramadi,2,"strikes engaged an ISIL tactical unit and destroyed two vehicles, two bunkers, and a tunnel entrance.","- Near Ramadi, two strikes engaged an ISIL tactical unit and destroyed two vehicles, two bunkers, and a tunnel entrance."
"October 6, 2016",Iraq,Rawah,1,strike destroyed an ISIL vehicle.,"- Near Rawah, one strike destroyed an ISIL vehicle."
"October 6, 2016",Iraq,Sultan Abdallah,1,strike destroyed an ISIL vehicle.,"- Near Sultan Abdallah, one strike destroyed an ISIL vehicle."
"October 6, 2016",Iraq,Tal Afar,2,strikes engaged two ISIL tactical units and destroyed two ISIL-held buildings and a vehicle.,"- Near Tal Afar, two strikes engaged two ISIL tactical units and destroyed two ISIL-held buildings and a vehicle."
"October 5, 2016",Syria,Abu Kamal,4,"strikes destroyed three ISIL oil well heads, six supply routes, and an oil pump jack.","- Near Abu Kamal, four strikes destroyed three ISIL oil well heads, six supply routes, and an oil pump jack."
"October 5, 2016",Syria,Al Shadaddi,2,strikes destroyed two ISIL front-end loaders.,"- Near Al Shadaddi, two strikes destroyed two ISIL front-end loaders."
"October 5, 2016",Syria,Ayn Isa,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Ayn Isa, one strike engaged an ISIL tactical unit and destroyed a vehicle."
"October 5, 2016",Syria,Dayr Az Zawr,2,"strikes destroyed four ISIL oil collection pools, three oil well heads, and two vehicles.","- Near Dayr Az Zawr, two strikes destroyed four ISIL oil collection pools, three oil well heads, and two vehicles."
"October 5, 2016",Syria,Mar’a,5,strikes engaged three ISIL tactical units; destroyed three fighting positions and a mortar system; and suppressed a heavy machine gun firing position.,"- Near Mar’a, five strikes engaged three ISIL tactical units; destroyed three fighting positions and a mortar system; and suppressed a heavy machine gun firing position."
"October 5, 2016",Iraq,Hit,1,strike engaged an ISIL tactical unit.,"- Near Hit, one strike engaged an ISIL tactical unit."
"October 5, 2016",Iraq,Kisik,2,"strikes engaged an ISIL tactical unit; destroyed a vehicle, a tunnel, and a weapons cache; and suppressed a mortar firing position.","- Near Kisik, two strikes engaged an ISIL tactical unit; destroyed a vehicle, a tunnel, and a weapons cache; and suppressed a mortar firing position."
"October 5, 2016",Iraq,Mosul,6,"strikes engaged an ISIL tactical unit; destroyed three fighting positions, an oil tanker truck, an ISIL-held building, an explosives cache, a weapons cache, a command and control node, and a vehicle; and damaged an oil tanker truck.","- Near Mosul, six strikes engaged an ISIL tactical unit; destroyed three fighting positions, an oil tanker truck, an ISIL-held building, an explosives cache, a weapons cache, a command and control node, and a vehicle; and damaged an oil tanker truck."
"October 5, 2016",Iraq,Qayyarah,2,"strikes engaged an ISIL tactial unit, destroyed an ISIL-held building, and damaged a repeater tower power generator.","- Near Qayyarah, two strikes engaged an ISIL tactial unit, destroyed an ISIL-held building, and damaged a repeater tower power generator."
"October 5, 2016",Iraq,Ramadi,3,"strikes engaged an ISIL tactical unit; destroyed a tractor, a vehicle, a VBIED, a supply cache, a tunnel, and an ISIL-held building; and damaged a second ISIL-held building.","- Near Ramadi, three strikes engaged an ISIL tactical unit; destroyed a tractor, a vehicle, a VBIED, a supply cache, a tunnel, and an ISIL-held building; and damaged a second ISIL-held building."
"October 4, 2016",Syria,Abu Kamal,2,strikes destroyed three oil well heads and two oil tanker trucks.,"- Near Abu Kamal, two strikes destroyed three oil well heads and two oil tanker trucks."
"October 4, 2016",Syria,Al Shadaddi,3,strikes engaged two ISIL tactical units and destroyed two fighting positions and a vehicle.,"- Near Al Shadaddi, three strikes engaged two ISIL tactical units and destroyed two fighting positions and a vehicle."
"October 4, 2016",Syria,Ar Raqqah,2,"strikes destroyed three ISIL oil well heads, an oil storage tank, and an oil drum cache.","- Near Ar Raqqah, two strikes destroyed three ISIL oil well heads, an oil storage tank, and an oil drum cache."
"October 4, 2016",Syria,Dayr Az Zawr,3,"strikes destroyed 11 ISIL petroleum, oil and lubricant equipment assets, nine oil tanker trucks, and two oil well heads.","- Near Dayr Az Zawr, three strikes destroyed 11 ISIL petroleum, oil and lubricant equipment assets, nine oil tanker trucks, and two oil well heads."
"October 4, 2016",Syria,Idlib,1,strikes engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Idlib, one strikes engaged an ISIL tactical unit and destroyed a vehicle."
"October 4, 2016",Syria,Manbij,1,strike destroyed an ISIL machine gun.,"- Near Manbij, one strike destroyed an ISIL machine gun."
"October 4, 2016",Syria,Mar’a,4,strikes engaged three ISIL tactical units and destroyed two fighting positions and a command and control node.,"- Near Mar’a, four strikes engaged three ISIL tactical units and destroyed two fighting positions and a command and control node."
"October 4, 2016",Iraq,Hit,2,"strikes engaged two ISIL tactical unit and destroyed 11 vehicles, five ISIL-held buildings, four weapons caches, two VBIEDs, and a heavy machine gun.","- Near Hit, two strikes engaged two ISIL tactical unit and destroyed 11 vehicles, five ISIL-held buildings, four weapons caches, two VBIEDs, and a heavy machine gun."
"October 4, 2016",Iraq,Mosul,4,"strikes engaged two ISIL tactical units, two staging areas, a VBIED factory, a weapons factory, and a weapons logistics facility and destroyed four vehicles, two weapons caches, two supply caches, a command and control node, and two ISIL-held buildings.","- Near Mosul, four strikes engaged two ISIL tactical units, two staging areas, a VBIED factory, a weapons factory, and a weapons logistics facility and destroyed four vehicles, two weapons caches, two supply caches, a command and control node, and two ISIL-held buildings."
"October 4, 2016",Iraq,Qayyarah,1,strike destroyed two ISIL vehicles.,"- Near Qayyarah, one strike destroyed two ISIL vehicles."
"October 4, 2016",Iraq,Ramadi,1,strike engaged an ISIL tactical unit and destroyed a vehicle.,"- Near Ramadi, one strike engaged an ISIL tactical unit and destroyed a vehicle."
"October 4, 2016",Iraq,Sinjar,1,strike engaged an ISIL tactical unit and destroyed a heavy machine gun.,"- Near Sinjar, one strike engaged an ISIL tactical unit and destroyed a heavy machine gun."
"October 4, 2016",Iraq,Sultan Abdallah,1,strike destroyed an ISIL repeater tower power supply system.,"- Near Sultan Abdallah, one strike destroyed an ISIL repeater tower power supply system."
"October 3, 2016",Syria,Abu Kamal,1,strike destroyed seven ISIL oil storage tanks and two oil well heads.,"- Near Abu Kamal, one strike destroyed seven ISIL oil storage tanks and two oil well heads."
"October 3, 2016",Syria,Al Shadaddi,3,strikes engaged two ISIL tactical units and destroyed a vehicle.,"- Near Al Shadaddi, three strikes engaged two ISIL tactical units and destroyed a vehicle."
"October 3, 2016",Syria,Ar Raqqah,5,"strikes destroyed two ISIL oil pump jacks, two oil well heads, a crane, and an oil tanker truck, and damaged four supply routes.","- Near Ar Raqqah, five strikes destroyed two ISIL oil pump jacks, two oil well heads, a crane, and an oil tanker truck, and damaged four supply routes."
"October 3, 2016",Syria,Dayr Az Zawr,3,strikes destroyed an ISIL oil tanker truck and damaged four supply routes.,"- Near Dayr Az Zawr, three strikes destroyed an ISIL oil tanker truck and damaged four supply routes."
"October 3, 2016",Syria,Manbij,1,strike engaged an ISIL tactical unit and destroyed a fighting position.,"- Near Manbij, one strike engaged an ISIL tactical unit and destroyed a fighting position."
"October 3, 2016",Syria,Mar’a,7,"strikes engaged five ISIL tactical units and destroyed three fighting positions, two VBIEDs, a heavy machine gun, and a vehicle.","- Near Mar’a, seven strikes engaged five ISIL tactical units and destroyed three fighting positions, two VBIEDs, a heavy machine gun, and a vehicle."
"October 3, 2016",Iraq,Bayji,1,strike destroyed an ISIL weapons cache and damaged a vehicle.,"- Near Bayji, one strike destroyed an ISIL weapons cache and damaged a vehicle."
"October 3, 2016",Iraq,Hit,1,strike destroyed an ISIL heavy machine gun.,"- Near Hit, one strike destroyed an ISIL heavy machine gun."
"October 3, 2016",Iraq,Kisik,1,strike destroyed two tunnel entrances and suppressed a mortar firing position.,"- Near Kisik, one strike destroyed two tunnel entrances and suppressed a mortar firing position."
"October 3, 2016",Iraq,Mosul,4,strikes engaged an ISIL tactical unit and destroyed two ISIL headquarters buildings and a front-end loader.,"- Near Mosul, four strikes engaged an ISIL tactical unit and destroyed two ISIL headquarters buildings and a front-end loader."
"October 3, 2016",Iraq,Ramadi,2,"strikes engaged an ISIL tactical unit and a staging area and destroyed four vehicles, a fuel truck, three ISIL-held buildings, a weapons cache, a supply cache, and a mortar system.","- Near Ramadi, two strikes engaged an ISIL tactical unit and a staging area and destroyed four vehicles, a fuel truck, three ISIL-held buildings, a weapons cache, a supply cache, and a mortar system."
"October 3, 2016",Iraq,Rawah,1,strike destroyed an ISIL vehicle storage area.,"- Near Rawah, one strike destroyed an ISIL vehicle storage area."
"October 3, 2016",Iraq,Sultan Abdallah,2,"strikes engaged an ISIL tactical unit; destroyed five ISIL-held buildings, and four repeater tower generators; and suppressed a light machine gun.","- Near Sultan Abdallah, two strikes engaged an ISIL tactical unit; destroyed five ISIL-held buildings, and four repeater tower generators; and suppressed a light machine gun."
"October 3, 2016",Iraq,Tal Afar,2,"strikes engaged two ISIL tactical units; destroyed two tunnel entrances, two ISIL-held buildings, and a vehicle; and suppressed a sniper firing position.","- Near Tal Afar, two strikes engaged two ISIL tactical units; destroyed two tunnel entrances, two ISIL-held buildings, and a vehicle; and suppressed a sniper firing position."
"October 2, 2016",Syria,Ar Raqqah,2,strikes destroyed two oil pump jacks and damaged two supply routes.,"- Near Ar Raqqah, two strikes destroyed two oil pump jacks and damaged two supply routes."
